19,609,31.0
19,611,245.0
19,614,615.0
19,631,210.0
19,638,6.0
19,641,55.0
19,675,44.0
19,681,2.0
19,682,32.0
19,714,81.0
19,725,130.0
19,735,332.0
19,774,58.0
19,783,315.0
19,798,43.0
19,839,2.0
19,873,131.0
19,913,139.0
19,932,28.0
19,955,724.0
19,975,82.0
19,987,387.0
20,147,120.0
20,398,114.0
20,429,71.0
20,470,154.0
20,485,150.0
20,835,82.0
20,932,544.0
21,72,28.0
21,491,78.0
21,614,7.0
21,655,97.0
22,444,83.0
22,756,75.0
22,795,39.0
22,810,37.0
23,339,354.0
23,630,234.0
23,641,240.0
24,111,28.0
24,162,131.0
24,333,217.0
24,662,29.0
24,766,58.0
25,213,99.0
25,523,15.0
25,725,425.0
25,825,111.0
26,68,10.0
26,138,14.0
26,670,41.0
26,725,31.0
26,735,66.0
26,778,99.0
26,898,49.0
26,936,38.0
26,985,65.0
27,203,4.0
27,345,6.0
27,599,47.0
27,807,16.0
27,881,264.0
27,940,46.0
28,314,150.0
28,462,157.0
28,875,24.0
28,929,123.0
28,940,76.0
29,183,318.0
29,261,73.0
29,470,478.0
29,478,305.0
30,59,133.0
30,327,490.0
30,482,60.0
30,675,355.0
31,72,24.0
31,243,109.0
31,316,16.0
31,456,97.0
31,740,51.0
32,61,28.0
32,528,257.0
32,714,1097.0
32,753,47.0
32,765,262.0
33,93,327.0
33,100,308.0
33,162,70.0
33,375,39.0
33,386,127.0
33,424,145.0
33,650,237.0
33,778,141.0
33,954,79.0
34,129,309.0
34,170,2.0
34,200,15.0
34,587,717.0
34,842,300.0
35,250,1175.0
35,322,245.0
35,437,114.0
35,535,101.0
35,840,92.0
36,404,273.0
36,639,461.0
36,786,319.0
36,846,1239.0
37,146,57.0
37,200,86.0
37,463,18.0
37,832,27.0
37,872,73.0
38,75,104.0
38,121,70.0
38,126,342.0
38,153,71.0
38,244,9.0
38,368,777.0
38,387,68.0
38,389,104.0
38,444,493.0
38,463,539.0
38,485,269.0
38,506,235.0
38,524,762.0
38,579,484.0
38,593,1174.0
38,616,91.0
38,636,30.0
38,675,40.0
38,746,402.0
38,796,437.0
38,827,17.0
38,839,1.0
38,844,672.0
38,922,49.0
38,950,206.0
38,987,655.0
38,998,674.0
39,229,93.0
39,404,232.0
39,515,48.0
39,856,29.0
39,954,23.0
40,366,1102.0
40,714,297.0
40,926,432.0
40,954,3.0
41,53,156.0
41,67,97.0
41,81,104.0
41,253,378.0
41,287,118.0
41,303,29.0
41,395,1.0
41,444,45.0
41,529,28.0
41,597,27.0
41,611,78.0
41,651,288.0
41,658,36.0
41,812,495.0
41,839,121.0
41,849,391.0
41,932,66.0
41,964,133.0
41,994,412.0
42,397,37.0
42,589,28.0
42,766,252.0
42,785,48.0
42,802,136.0
43,97,5.0
43,269,6.0
43,506,20.0
43,798,1.0
44,248,185.0
44,409,101.0
44,456,148.0
44,649,144.0
45,102,335.0
45,171,364.0
45,320,42.0
45,532,34.0
45,611,211.0
45,842,2699.0
45,883,138.0
46,267,41.0
46,322,211.0
