than	two	2
than	months	2
she	than	2
grew	than	2
than	stronger	2
and	than	3
than	healthier	2
than	ever	3
two	months	1
she	two	1
grew	two	1
two	stronger	1
and	two	3
two	healthier	1
two	ever	1
she	months	1
grew	months	1
months	stronger	1
and	months	1
months	healthier	1
ever	months	1
she	stronger	1
she	healthier	1
she	ever	1
grew	stronger	1
and	grew	1
grew	healthier	1
grew	ever	1
and	stronger	1
stronger	healthier	1
ever	stronger	1
and	healthier	1
and	ever	2
ever	healthier	1
she	after	1
had	after	2
after	done	1
her	after	1
work	after	1
she	done	1
had	done	1
had	her	7
her	done	1
work	done	1
her	work	3
she	read	1
on	played	1
the	played	1
played	harpsichord	1
the	on	10
on	harpsichord	1
the	harpsichord	1
or	else	2
or	sung	1
or	whilst	1
she	or	1
or	spun	1
else	sung	1
else	whilst	1
she	else	1
else	spun	1
sung	whilst	1
she	sung	1
sung	spun	1
she	whilst	1
whilst	spun	1
she	spun	1
on	contrary	1
the	contrary	1
her	two	1
her	did	1
her	know	1
her	how	2
her	spend	1
their	her	3
sisters	two	2
two	did	1
two	not	1
two	know	1
two	how	1
two	to	3
two	spend	1
their	two	1
two	time	1
sisters	did	1
sisters	not	2
sisters	know	1
sisters	how	1
sisters	to	10
sisters	spend	1
their	sisters	2
sisters	time	2
not	did	3
did	know	2
did	how	1
to	did	3
did	spend	1
their	did	1
time	did	1
not	know	1
not	how	1
not	spend	1
not	time	3
know	how	1
to	know	2
know	spend	1
their	know	1
time	know	1
to	how	3
how	spend	1
their	how	1
time	how	1
to	spend	1
time	to	4
their	spend	1
time	spend	1
their	time	1
they	got	1
up	they	3
they	at	2
they	ten	1
up	got	1
at	got	1
got	ten	1
up	at	2
up	ten	1
at	ten	1
and	did	1
and	nothing	1
and	saunter	1
and	about	2
and	whole	2
and	day	1
did	nothing	1
but	did	1
did	saunter	1
did	about	1
the	did	2
whole	did	1
day	did	1
but	nothing	4
nothing	saunter	1
nothing	about	1
the	nothing	1
whole	nothing	1
day	nothing	1
but	saunter	1
but	about	2
but	whole	1
but	day	2
saunter	about	1
the	saunter	1
whole	saunter	1
day	saunter	1
the	about	4
whole	about	1
day	about	1
the	day	1
day	whole	1
the	lamenting	1
loss	lamenting	1
of	lamenting	1
their	lamenting	1
lamenting	fine	1
lamenting	clothes	1
and	lamenting	1
lamenting	acquaintance	1
the	fine	2
the	clothes	2
the	acquaintance	1
their	loss	1
loss	fine	1
loss	clothes	1
and	loss	1
loss	acquaintance	1
of	fine	1
of	clothes	3
of	acquaintance	1
their	fine	1
their	clothes	1
their	acquaintance	1
fine	clothes	2
and	fine	2
fine	acquaintance	1
and	clothes	2
clothes	acquaintance	1
and	acquaintance	1
but	do	3
do	see	2
do	our	1
youngest	do	1
sister	do	1
but	see	3
but	our	1
but	youngest	1
