6,52,95486 
6,53,94501 
6,54,267675 
7,0,266317 
7,1,336521 
8,0,331259 
8,1,1639 
8,2,1682 
8,64,17819 
9,0,16367 
9,1,41298 
9,2,41107 
9,3,42622 
9,10,42155 
9,27,6038 
9,64,13050 
9,65,15874 
10,0,11370 
10,2,93127 
10,3,93460 
10,6,0 
10,9,0 
10,27,69497 
11,0,73505 
12,0,0 
12,1,0 
13,0,153899 
13,1,156480 
13,3,98079 
13,27,85450 
14,0,23419 
14,1,24341 
15,0,46892 
15,1,49960 
15,2,27761 
15,73,27507 
16,0,9789 
16,2,8240 
16,64,48773 
17,0,49729 
17,1,5506 
17,2,3626 
17,27,85260 
18,0,85024 
19,0,44687 
19,2,42769 
19,73,44561 
20,0,45351 
21,0,46796 
21,22,46839 
21,66,57864 
21,67,57849 
22,0,20762 
22,21,20777 
22,68,8560 
23,0,8599 
23,68,21522 
23,69,21820 
24,0,37376 
24,1,37383 
25,0,3899 
25,1,4160 
25,4,162 
25,5,196 
25,6,5151 
25,53,4975 
26,0,356833 
27,0,357923 
27,1,27821 
27,4,29814 
27,5,69290 
27,6,70871 
27,9,48791 
27,10,49635 
27,13,2253 
27,17,2065 
27,40,11202 
27,44,9039 
27,45,1192 
27,46,1381 
27,47,2259 
27,48,1043 
27,52,1611 
27,53,2134 
27,54,2539 
28,0,2507 
29,0,1430 
29,1,1360 
29,5,9011 
29,31,10843 
29,44,16076 
29,48,13163 
29,52,75320 
29,62,76047 
30,0,18383 
31,0,18437 
31,6,26517 
31,29,28379 
31,62,33439 
32,0,33125 
32,2,21744 
32,4,21168 
32,58,36418 
33,0,37141 
33,2,52999 
34,0,53615 
34,1,12397 
34,5,11730 
35,0,35628 
35,1,36070 
35,5,43140 
35,6,41051 
35,53,51483 
36,0,53321 
37,0,0 
38,0,0 
38,4,20740 
39,0,19232 
39,5,16923 
39,6,16017 
40,0,111885 
40,2,112282 
40,3,50354 
40,4,49740 
40,5,48256 
40,6,44097 
40,27,25546 
40,48,26947 
41,0,27943 
41,2,23093 
41,4,604142 
41,73,624210 
42,0,122288 
43,0,120440 
43,3,32631 
44,0,32264 
44,2,28019 
44,3,28647 
44,5,50312 
44,27,51001 
44,29,386116 
44,74,387492 
44,75,64325 
44,76,63833 
45,0,71831 
45,2,71925 
45,5,33468 
45,27,31699 
45,73,88852 
45,77,87559 
46,0,176638 
46,2,173551 
46,6,473596 
46,27,475064 
47,0,40846 
47,2,34860 
47,4,189822 
47,5,199706 
47,27,53678 
48,0,53213 
48,2,750 
48,3,539 
48,4,43022 
48,5,44031 
48,6,54741 
48,27,57823 
48,29,209647 
48,40,222867 
48,49,11492 
48,59,9246 
48,60,7219 
48,72,7515 
48,78,27549 
48,79,27926 
48,80,68245 
48,81,69754 
49,0,60234 
49,2,59995 
49,4,55731 
49,5,56326 
49,48,11011 
49,78,10521 
49,79,164604 
49,80,165026 
49,81,63103 
50,0,63546 
50,5,67508 
51,0,67876 
51,5,21142 
51,52,20364 
51,85,17787 
52,0,16957 
52,3,15455 
52,4,15324 
52,5,56116 
52,6,55603 
52,27,27271 
52,29,27952 
52,51,48240 
52,84,50993 
53,1,90560 
53,2,92767 
53,3,230308 
53,4,230342 
53,5,7409 
53,6,7229 
53,25,17317 
53,27,16676 
53,35,9571 
54,1,9908 
54,2,15387 
54,4,16380 
54,5,14921 
54,6,15955 
54,27,33833 
54,73,35307 
55,1,27631 
55,2,27132 
55,4,36672 
55,73,38560 
56,1,22029 
56,2,20909 
57,2,6302 
58,2,6788 
58,32,34964 
59,2,35968 
59,48,8757 
60,2,9015 
60,4,13243 
60,48,13538 
61,1,32485 
61,64,32443 
62,1,53567 
62,5,54340 
62,29,115244 
62,31,118148 
63,1,15418 
63,4,16161 
64,8,60379 
64,9,61110 
64,16,32788 
64,61,33266 
65,9,12342 
66,21,12754 
66,70,88370 
66,71,87557 
67,21,18506 
68,22,16608 
68,23,11202 
69,23,12119 
70,66,3774 
71,66,3329 
72,1,2276 
72,4,3210 
72,5,8249 
72,48,7932 
73,4,2622 
73,15,3442 
73,19,4588 
73,41,5754 
73,45,12718 
73,54,12555 
73,55,31729 
74,4,26949 
74,44,45626 
75,4,45225 
75,44,32836 
76,44,32777 
77,4,13855 
77,45,13845 
78,48,6225 
78,49,5034 
79,48,14669 
79,49,15831 
80,48,108719 
80,49,109136 
80,81,515781 
81,5,519545 
81,48,602548 
81,49,624112 
81,80,6616 
82,5,6748 
82,83,34358 
83,5,32773 
83,82,16731 
84,5,16752 
84,52,28772 
85,51,28603 
