※最後の1回が代表してプロットされています。
415	998	48	1994
416	4	50	8
417	3	38	4
418	999	196	1996
419	19	886	156
420	999	256	3982
421	0	315	0
422	0	427	0
423	997	180	1992
424	19	932	154
425	1000	168	1998
426	1000	214	1998
427	962	1175	24642
428	1000	164	2020
429	999	323	3986
430	34	1134	546
431	0	339	0
432	1000	323	3982
433	999	31	1996
434	2	33	2
435	0	44	0
436	0	33	0
437	1000	206	1998
438	997	25	1992
439	4	25	6
440	999	60	1996
441	2	52	2
442	0	43	0
443	1000	132	7956
444	0	181	0
445	1000	51	3982
446	0	140	0
447	0	126	0
448	14	315	98
449	1000	44	1998
450	0	14	0
451	1000	121	1998
452	999	19	1996
453	2	29	2
454	1000	125	1998
455	0	119	0
456	999	5634	7958
457	999	219	1996
458	1000	135	1998
459	0	679	0
460	5	108	8
461	0	222	0
462	0	1590	0
463	0	3648	0
464	1000	142	3992
465	0	32	0
466	998	40	1994
467	7	40	12
468	998	12	1994
469	3	20	4
470	998	80	1994
471	2	27	2
472	999	17	1996
473	1000	35	3990
474	999	21	1996
475	1000	691	3990
476	996	10	1990
477	1000	666	3984
478	1000	606	1998
479	0	24	0
480	2	12	2
481	999	50	1996
482	0	61	0
483	1000	75	1998
484	998	59	1994
485	3	10	4
486	3	40	4
487	999	135	11898
488	1000	61	3990
489	1000	313	21690
490	0	68	0
491	991	127	3956
492	0	82	0
493	0	77	0
494	995	53	7896
495	996	191	9862
496	2	21	2
497	0	24	0
498	1000	114	1998
499	3	54	4
500	999	48	1996
501	0	46	0
502	990	78	1978
503	6	51	10
504	999	27	1996
505	2	21	2
506	0	176	0
507	0	182	0
508	19	334	96
509	5	92	12
510	982	537	5874
511	1000	61	1998
512	1000	85	1998
513	999	31	1996
514	2	17	2
515	1000	119	1998
516	0	31	0
517	2	22	2
518	999	38	1996
519	1000	61	1998
520	0	35	0
521	1000	283	1998
522	0	933	0
523	861	5816	30282
524	1000	198	1998
525	1000	520	5978
526	0	1069	0
527	0	698	0
528	998	317	5938
529	0	202	0
530	1000	441	1998
531	999	281	1996
532	994	254	1986
533	157	4819	4988
534	0	157	0
535	0	1013	0
536	0	254	0
537	0	179	0
538	0	91	0
539	986	84	1970
540	15	94	28
541	0	42	0
542	998	118	1994
543	1000	1720	13882
544	1000	107	1998
545	999	109	1996
546	0	113	0
547	1000	181	1998
548	999	159	3974
549	0	142	0
550	0	710	0
551	1000	142	1998
552	0	303	0
553	0	19	0
554	0	106	0
555	1000	650	1998
556	997	43	1992
557	4	33	6
558	0	81	0
559	1000	3024	1998
560	0	122	0
561	0	103	0
562	0	111	0
563	0	51	0
564	0	79	0
565	5	101	8
566	0	88	0
567	1000	57	1998
568	0	25	0
569	0	62	0
570	996	26	1990
571	5	41	8
572	3	22	4
573	1000	93	1998
574	0	37	0
575	1000	1564	3980
576	0	221	0
577	994	32	1986
578	1000	157	1998
579	998	66	1994
580	999	96	5968
581	7	71	12
582	11	22	20
583	996	81	1990
584	5	61	8
585	1000	1081	1998
586	0	29	0
587	998	50	3982
588	2	47	2
589	999	75	1996
590	999	1055	1996
591	0	33	0
592	1000	689	1998
593	0	30	0
594	1000	530	1998
595	13	77	62
596	1000	56	4000
597	12	46	22
598	999	69	5978
599	0	27	0
600	1000	366	3988
601	998	32	1994
602	997	62	1992
603	998	66	1994
604	1000	131	11918
605	1000	41	1998
606	1000	61	1998
607	0	41	0
608	1000	342	1998
609	0	110	0
610	0	54	0
611	1000	66	1998
612	998	38	1994
613	3	26	4
614	999	91	1996
615	0	8	0
616	1000	534	1998
617	2	34	2
618	0	10417	0
619	1000	442	1998
620	1000	623	5978
621	0	5706	0
622	1000	752	3992
623	1000	338	1998
624	0	321	0
625	1000	288	1998
626	998	16777	112098
627	1000	327	1998
628	999	435	3986
629	0	1677	0
630	990	1282	21480
631	1000	272	1998
632	990	948	1978
633	1000	333	1998
634	1000	318	1998
635	1000	490	1998
636	62	1152	240
637	1000	769	1998
638	1000	1337	11862
639	1000	321	1998
640	1000	629	5976
641	0	10492	0
642	1000	1084	3984
643	0	14	0
644	1000	94	1998
645	984	3482	11710
646	0	1663	0
647	1000	956	1998
648	240	12222	23760
649	0	611	0
650	1000	4171	27548
651	1000	945	5980
652	1000	3109	21478
653	0	572	0
654	776	35463	205454
655	1000	1306	1998
656	1000	955	1998
657	1000	606	3986
658	1000	1000	5966
659	0	2171	0
660	1000	1396	5980
661	1000	562	1998
662	1000	974	11902
663	1000	981	5980
664	986	2297	1970
665	997	5429	48478
666	1000	638	5962
667	0	2384	0
668	1000	575	1998
669	1000	673	1998
670	0	3596	0
671	1000	2209	5980
672	1000	1280	1998
673	1000	653	1998
674	1000	633	1998
675	1000	1314	5980
676	316	2974	4322
677	1000	668	1998
678	1000	663	1998
679	1000	643	1998
680	0	9852	0
681	1000	1988	11856
682	314	3500	3090
683	1000	1280	5980
684	1000	1286	1998
685	1000	643	1998
686	0	3884	0
687	303	17629	45396
688	1000	617	1998
689	0	997	0
690	1000	713	1998
691	1000	1964	5974
692	1000	943	3992
693	0	3382	0
694	1000	712	3988
695	1000	662	1998
696	1000	612	1998
697	0	29	0
698	1000	127	1998
699	0	20	0
